ANO_ELEICAO,NUM_TURNO,SIGLA_UF,SIGLA_UE,CODIGO_CARGO,DESCRICAO_CARGO,NOME_CANDIDATO,NUMERO_CANDIDATO,NUMERO_PARTIDO,SIGLA_PARTIDO
2014,1,AC,AC,6,DEPUTADO FEDERAL,SEBASTIÃO ALVES RODRIGUES MANCHINERY,2555,25,DEM
2014,1,AC,AC,6,DEPUTADO FEDERAL,MARILEIDE SERAFIM DE ANDRADE,1733,17,PSL
2014,1,AC,AC,6,DEPUTADO FEDERAL,RAIZZA MARIA CARDOSO DE AZEVEDO,1399,13,PT
2014,1,AC,AC,6,DEPUTADO FEDERAL,RAMAO VIEIRA DE OLIVEIRA,9090,90,PROS
2014,1,AC,AC,6,DEPUTADO FEDERAL,RAIMUNDO VAZ DE AZEVEDO,4444,44,PRP
2014,1,AC,AC,6,DEPUTADO FEDERAL,WHERLES FERNANDES DA ROCHA,4545,45,PSDB
2014,1,AC,AC,6,DEPUTADO FEDERAL,ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA,2020,20,PSC
2014,1,AC,AC,6,DEPUTADO FEDERAL,CLAUDENOR MAGALHÃES SANTANA DE SOUZA,1101,11,PP
2014,1,AC,AC,6,DEPUTADO FEDERAL,MARIA NAZARE PEREIRA LIMA DE CARVALHO,5500,55,PSD
2014,1,AC,AC,6,DEPUTADO FEDERAL,LUIZ ANUTE DOS SANTOS,7777,77,SD
2014,1,AC,AC,6,DEPUTADO FEDERAL,EMERSON DA SILVA SANTOS,5050,50,PSOL
2014,1,AC,AC,6,DEPUTADO FEDERAL,FRANCISCA CILENE RODRIGUES LOPES,1377,13,PT
2014,1,AC,AC,6,DEPUTADO FEDERAL,EDSON BRAGA RODRIGUES,4567,45,PSDB
2014,1,AC,AC,6,DEPUTADO FEDERAL,FRANCISCO NAZARENO DA SILVA,4510,45,PSDB
2014,1,AC,AC,6,DEPUTADO FEDERAL,FLAVIANO FLÁVIO BAPTISTA DE MELO,1555,15,PMDB
2014,1,AC,AC,6,DEPUTADO FEDERAL,CARLOS CESAR CORREIA DE MESSIAS,4040,40,PSB
2014,1,AC,AC,6,DEPUTADO FEDERAL,REGINA AMELIA D ALENCAR LINO,1400,14,PTB
2014,1,AC,AC,6,DEPUTADO FEDERAL,MARIA JOICILENE SOUZA SILVA NOBRE,4325,43,PV
2014,1,AC,AC,6,DEPUTADO FEDERAL,VALDETE DE SOUZA,3333,33,PMN
2014,1,AC,AC,6,DEPUTADO FEDERAL,MARIO SERGIO MOURA DA SILVA,5431,54,PPL
2014,1,AC,AC,6,DEPUTADO FEDERAL,LUIZETE SILVA E SILVA,4554,45,PSDB
2014,1,AC,AC,6,DEPUTADO FEDERAL,VANDA DENIR MILANI NOGUEIRA,1144,11,PP
2014,1,AC,AC,6,DEPUTADO FEDERAL,JOSÉ RIBAMAR COSTA,1123,11,PP
2014,1,AC,AC,6,DEPUTADO FEDERAL,ANA PAULA MORAIS DE HOLANDA,5012,50,PSOL
2014,1,AC,AC,6,DEPUTADO FEDERAL,LEONARDO CUNHA DE BRITO,1331,13,PT
2014,1,AC,AC,6,DEPUTADO FEDERAL,OSVALDO ALVES RIBEIRO NETO,1122,11,PP
2014,1,AC,AC,6,DEPUTADO FEDERAL,SHIRLEY TORRES DE ARAÚJO,4343,43,PV
2014,1,AC,AC,6,DEPUTADO FEDERAL,FRANCISCO CARLOS OLIVEIRA DA CRUZ,7070,70,PT do B
2014,1,AC,AC,6,DEPUTADO FEDERAL,MIRACY BEZERRA DOS SANTOS,7088,70,PT do B
2014,1,AC,AC,6,DEPUTADO FEDERAL,JOSÉ LUIS SCHAFER,1212,12,PDT
2014,1,AC,AC,6,DEPUTADO FEDERAL,NORMANDO RODRIGUES SALES,2525,25,DEM
2014,1,AC,AC,6,DEPUTADO FEDERAL,GRACE MONICA ALVIM COELHO,1300,13,PT
2014,1,AC,AC,6,DEPUTADO FEDERAL,MOISES DINIZ LIMA,6513,65,PC do B
2014,1,AC,AC,6,DEPUTADO FEDERAL,RUY MEDEIROS DE ARAÚJO BIRICO,5524,55,PSD
