HTTP/1.1 200 OK
Date: Sun, 26 Nov 2017 18:03:43 GMT
Server: Apache/2.4.18 (Ubuntu)
Content-Disposition: attachment; filename=TSE_PRESIDENTE_MUNZONA_DETALHE_2014.csv
Set-Cookie: session=eyJsb2NhbGUiOnsiIGIiOiJjSFE9In19.DPyTfw.SiL1I8cadIzFS8GFr_2Dd0Tw2Kw; HttpOnly; Path=/
Content-Length: 2291
Content-Type: text/csv; charset=utf-8

"CODIGO_CARGO","COD_MUN_TSE","NUM_TURNO","NOME_MUNICIPIO","DESCRICAO_CARGO","ANO_ELEICAO","NUM_ZONA","UF","QTD_APTOS","QTD_COMPARECIMENTO","QTD_ABSTENCOES","QT_VOTOS_NOMINAIS","QT_VOTOS_LEGENDA"
"1","1007","1","1200138","PRESIDENTE","2014","9","AC","6902","5918","984","5541","0"
"1","1015","1","1200179","PRESIDENTE","2014","8","AC","6941","5700","1241","5416","0"
"1","1023","1","1200807","PRESIDENTE","2014","10","AC","11434","9326","2108","8732","0"
"1","1031","1","1200435","PRESIDENTE","2014","3","AC","2783","1927","856","1763","0"
"1","1040","1","1200351","PRESIDENTE","2014","4","AC","8799","6391","2408","6164","0"
"1","1058","1","1200104","PRESIDENTE","2014","6","AC","17126","13510","3616","12816","0"
"1","1066","1","1200393","PRESIDENTE","2014","4","AC","5444","4063","1381","3879","0"
"1","1074","1","1200203","PRESIDENTE","2014","4","AC","51461","38957","12504","37314","0"
"1","1082","1","1200427","PRESIDENTE","2014","4","AC","9731","7525","2206","7196","0"
"1","1090","1","1200336","PRESIDENTE","2014","4","AC","10818","8548","2270","8198","0"
"1","1104","1","1200328","PRESIDENTE","2014","5","AC","4311","3264","1047","3123","0"
"1","1112","1","1200252","PRESIDENTE","2014","6","AC","10408","8311","2097","7819","0"
"1","1120","1","1200013","PRESIDENTE","2014","8","AC","9143","6999","2144","6550","0"
"1","1139","1","1200302","PRESIDENTE","2014","7","AC","18595","14030","4565","13072","0"
"1","1392","1","1200401","PRESIDENTE","2014","1","AC","70744","62354","8390","59625","0"
"1","1392","1","1200401","PRESIDENTE","2014","10","AC","74280","66344","7936","63937","0"
"1","1392","1","1200401","PRESIDENTE","2014","9","AC","87196","77862","9334","74581","0"
"1","1457","1","1200500","PRESIDENTE","2014","3","AC","25964","19758","6206","18555","0"
"1","1473","1","1200609","PRESIDENTE","2014","5","AC","23055","16992","6063","15842","0"
"1","1490","1","1200708","PRESIDENTE","2014","2","AC","11344","9004","2340","8483","0"
"1","1511","1","1200385","PRESIDENTE","2014","8","AC","12516","9941","2575","9375","0"
"1","1538","1","1200450","PRESIDENTE","2014","8","AC","16632","13486","3146","12898","0"
"1","1554","1","1200344","PRESIDENTE","2014","3","AC","5992","4528","1464","4195","0"
"1","1570","1","1200054","PRESIDENTE","2014","6","AC","5186","4280","906","4061","0"
